                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6814,                0.96768,                0.99646,                 2.1875,             0.00023767,             0.00023767,             0.00023767
                      2,                0.32155,                0.97171,                0.99084,                 2.1656,             0.00042858,             0.00042858,             0.00042858
                      3,                0.24911,                0.97474,                0.99237,                 2.1572,             0.00057236,             0.00057236,             0.00057236
                      4,                0.18755,                0.97972,                0.99772,                 2.1505,             0.00050194,             0.00050194,             0.00050194
                      5,                0.15394,                0.98341,                0.99963,                 2.1456,             0.00050194,             0.00050194,             0.00050194
                      6,                 0.1293,                0.98254,                0.99865,                 2.1448,             0.00043126,             0.00043126,             0.00043126
                      7,                  0.095,                0.98655,                0.99896,                 2.1398,             0.00036057,             0.00036057,             0.00036057
                      8,                0.08345,                0.98612,                0.99568,                 2.1397,             0.00028988,             0.00028988,             0.00028988
                      9,                0.06879,                0.98666,                0.99291,                 2.1386,              0.0002192,              0.0002192,              0.0002192
                     10,                0.05291,                0.98511,                 0.9949,                   2.14,             0.00014851,             0.00014851,             0.00014851
