                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0881,                 0.8496,                0.98627,                 2.8064,              0.0033268,              0.0033268,              0.0033268
                      2,                0.46223,                 0.9681,                0.99751,                 2.5513,              0.0066161,              0.0066161,              0.0066161
                      3,                0.23495,                0.97195,                0.99876,                 2.5308,              0.0098615,              0.0098615,              0.0098615
                      4,                0.18979,                0.97207,                 0.9992,                 2.5232,               0.009802,               0.009802,               0.009802
                      5,                0.14941,                 0.9765,                0.99597,                 2.5202,               0.009802,               0.009802,               0.009802
                      6,                0.12623,                0.98667,                0.99605,                 2.5063,               0.009736,               0.009736,               0.009736
                      7,                 0.1097,                0.97548,                0.99687,                 2.5156,                0.00967,                0.00967,                0.00967
                      8,                0.09401,                0.97755,                0.99585,                 2.5141,               0.009604,               0.009604,               0.009604
                      9,                0.09037,                0.98779,                0.99786,                 2.5037,               0.009538,               0.009538,               0.009538
                     10,                0.09286,                 0.9862,                0.99901,                 2.5053,               0.009472,               0.009472,               0.009472
                     11,                0.08249,                0.98667,                0.99903,                 2.5032,               0.009406,               0.009406,               0.009406
                     12,                0.07677,                0.98757,                0.99906,                 2.5029,                0.00934,                0.00934,                0.00934
                     13,                0.08191,                0.98528,                0.99687,                 2.5051,               0.009274,               0.009274,               0.009274
                     14,                0.07496,                0.98538,                0.99828,                 2.5046,               0.009208,               0.009208,               0.009208
                     15,                0.08072,                0.98908,                 0.9997,                 2.5008,               0.009142,               0.009142,               0.009142
                     16,                0.08193,                0.98928,                0.99928,                  2.501,               0.009076,               0.009076,               0.009076
                     17,                 0.0759,                0.98864,                0.99542,                 2.5006,                0.00901,                0.00901,                0.00901
                     18,                0.07908,                0.98998,                0.99978,                    2.5,               0.008944,               0.008944,               0.008944
                     19,                0.07492,                0.98851,                 0.9991,                 2.5016,               0.008878,               0.008878,               0.008878
                     20,                0.07425,                0.98971,                0.99908,                 2.5001,               0.008812,               0.008812,               0.008812
                     21,                0.08421,                0.99092,                0.99923,                 2.4986,               0.008746,               0.008746,               0.008746
                     22,                0.08881,                0.98993,                0.99806,                 2.4997,                0.00868,                0.00868,                0.00868
                     23,                 0.0826,                0.98911,                0.99893,                 2.5004,               0.008614,               0.008614,               0.008614
                     24,                0.08421,                0.99043,                0.99853,                 2.4995,               0.008548,               0.008548,               0.008548
                     25,                0.08462,                0.99038,                0.99945,                 2.4988,               0.008482,               0.008482,               0.008482
                     26,                0.08831,                0.99164,                0.99985,                 2.4979,               0.008416,               0.008416,               0.008416
                     27,                0.07893,                 0.9914,                0.99978,                 2.4979,                0.00835,                0.00835,                0.00835
                     28,                0.08867,                 0.9913,                0.99958,                 2.4979,               0.008284,               0.008284,               0.008284
                     29,                0.08647,                0.99174,                0.99945,                 2.4974,               0.008218,               0.008218,               0.008218
                     30,                0.08251,                0.99152,                0.99938,                 2.4979,               0.008152,               0.008152,               0.008152
                     31,                0.08555,                0.99137,                0.99978,                  2.498,               0.008086,               0.008086,               0.008086
                     32,                0.08335,                 0.9912,                0.99985,                 2.4981,                0.00802,                0.00802,                0.00802
                     33,                0.08669,                 0.9911,                0.99985,                  2.498,               0.007954,               0.007954,               0.007954
                     34,                0.09573,                0.99125,                0.99988,                 2.4977,               0.007888,               0.007888,               0.007888
                     35,                0.09576,                0.99157,                 0.9999,                 2.4975,               0.007822,               0.007822,               0.007822
                     36,                0.09149,                0.99167,                 0.9999,                 2.4975,               0.007756,               0.007756,               0.007756
                     37,                0.09411,                0.99177,                 0.9999,                 2.4974,                0.00769,                0.00769,                0.00769
                     38,                0.08724,                0.99187,                 0.9999,                 2.4973,               0.007624,               0.007624,               0.007624
                     39,                0.08459,                0.99194,                 0.9999,                 2.4973,               0.007558,               0.007558,               0.007558
                     40,                0.08935,                0.99187,                 0.9999,                 2.4973,               0.007492,               0.007492,               0.007492
                     41,                0.08839,                0.99184,                 0.9999,                 2.4974,               0.007426,               0.007426,               0.007426
                     42,                0.08395,                0.99179,                 0.9999,                 2.4975,                0.00736,                0.00736,                0.00736
                     43,                0.08712,                0.99182,                 0.9999,                 2.4975,               0.007294,               0.007294,               0.007294
                     44,                0.08819,                0.99179,                 0.9999,                 2.4974,               0.007228,               0.007228,               0.007228
                     45,                 0.0826,                0.99182,                0.99993,                 2.4974,               0.007162,               0.007162,               0.007162
